time,temperature,cost,edge_cost,travel_cost,delay_cost
1070,14.018691588785046,395,53,122,220
1071,14.005602240896359,431,38,123,270
1072,13.992537313432836,431,38,123,270
1073,13.979496738117428,431,38,123,270
1074,13.966480446927374,431,38,123,270
1075,13.953488372093023,436,41,115,280
1076,13.940520446096654,435,42,123,270
1077,13.927576601671309,410,66,114,230
1078,13.91465677179963,408,66,122,220
1079,13.901760889712698,408,66,122,220
1080,13.88888888888889,408,66,122,220
1081,13.876040703052729,408,66,122,220
1082,13.863216266173753,408,66,122,220
1083,13.850415512465373,408,66,122,220
1084,13.837638376383763,388,46,122,220
1085,13.824884792626728,388,46,122,220
1086,13.812154696132596,385,43,122,220
1087,13.799448022079117,385,43,122,220
1088,13.786764705882353,385,43,122,220
1089,13.774104683195592,385,43,122,220
1090,13.761467889908257,385,43,122,220
1091,13.748854262144821,385,43,122,220
1092,13.736263736263735,385,43,122,220
1093,13.723696248856358,385,43,122,220
1094,13.711151736745887,385,43,122,220
1095,13.698630136986301,391,43,128,220
1096,13.686131386861314,391,43,128,220
1097,13.673655423883318,391,43,128,220
1098,13.66120218579235,391,43,128,220
1099,13.64877161055505,391,43,128,220
1100,13.636363636363637,391,43,128,220
1101,13.623978201634877,394,46,128,220
1102,13.611615245009075,346,53,113,180
1103,13.599274705349048,346,53,113,180
1104,13.58695652173913,346,53,113,180
1105,13.574660633484163,354,110,104,140
1106,13.5623869801085,354,110,104,140
1107,13.550135501355014,354,110,104,140
1108,13.537906137184116,354,110,104,140
1109,13.525698827772768,354,110,104,140
1110,13.513513513513514,354,110,104,140
1111,13.501350135013501,389,90,119,180
1112,13.489208633093526,389,90,119,180
1113,13.477088948787062,389,90,119,180
1114,13.464991023339318,389,90,119,180
1115,13.452914798206278,389,90,119,180
1116,13.440860215053764,419,65,134,220
1117,13.42882721575649,455,50,135,270
1118,13.416815742397137,455,50,135,270
1119,13.404825737265416,455,50,135,270
1120,13.392857142857142,455,50,135,270
1121,13.380909901873327,455,50,135,270
1122,13.368983957219251,455,50,135,270
1123,13.357079252003562,474,18,136,320
1124,13.345195729537366,517,10,137,370
1125,13.333333333333334,517,10,137,370
1126,13.321492007104796,513,10,123,380
1127,13.309671694764862,507,10,117,380
1128,13.297872340425531,507,10,117,380
1129,13.286093888396811,507,10,117,380
1130,13.274336283185841,506,11,125,370
1131,13.26259946949602,506,11,125,370
1132,13.250883392226148,506,11,125,370
1133,13.23918799646955,506,11,125,370
1134,13.227513227513228,506,11,125,370
1135,13.215859030837004,506,11,125,370
1136,13.204225352112676,506,11,125,370
1137,13.192612137203167,506,11,125,370
1138,13.181019332161688,504,9,125,370
1139,13.169446883230904,504,9,125,370
1140,13.157894736842104,474,30,124,320
1141,13.146362839614373,474,30,124,320
1142,13.134851138353765,474,30,124,320
1143,13.123359580052494,479,35,124,320
1144,13.111888111888112,479,35,124,320
1145,13.100436681222707,479,35,124,320
1146,13.089005235602095,479,35,124,320
1147,13.077593722755013,479,35,124,320
1148,13.066202090592334,479,35,124,320
1149,13.054830287206267,479,35,124,320
1150,13.043478260869565,479,35,124,320
1151,13.032145960034752,479,35,124,320
1152,13.020833333333334,479,35,124,320
1153,13.009540329575021,441,46,115,280
1154,12.998266897746968,409,65,114,230
1155,12.987012987012987,409,65,114,230
1156,12.975778546712803,409,65,114,230
1157,12.96456352636128,409,65,114,230
1158,12.953367875647668,380,85,105,190
1159,12.942191544434857,380,85,105,190
1160,12.931034482758621,380,85,105,190
1161,12.919896640826874,389,45,114,230
1162,12.908777969018933,394,46,128,220
1163,12.89767841788478,391,43,128,220
1164,12.88659793814433,385,43,122,220
1165,12.875536480686696,385,43,122,220
1166,12.864493996569468,385,43,122,220
1167,12.853470437017995,385,43,122,220
1168,12.842465753424657,385,43,122,220
1169,12.83147989734816,385,43,122,220
1170,12.820512820512821,385,43,122,220
1171,12.809564474807857,385,43,122,220
1172,12.79863481228669,388,46,122,220
1173,12.787723785166241,388,46,122,220
1174,12.776831345826235,388,46,122,220
1175,12.76595744680851,388,46,122,220
1176,12.755102040816327,390,46,114,230
1177,12.74426508071368,390,46,114,230
1178,12.733446519524618,390,46,114,230
1179,12.72264631043257,396,46,120,230
1180,12.711864406779661,390,91,119,180
1181,12.701100762066046,390,91,119,180
1182,12.690355329949238,390,91,119,180
1183,12.679628064243449,390,91,119,180
1184,12.66891891891892,390,91,119,180
1185,12.658227848101266,390,91,119,180
1186,12.647554806070826,390,91,119,180
1187,12.636899747262005,390,91,119,180
1188,12.626262626262626,390,91,119,180
1189,12.615643397813288,390,91,119,180
1190,12.605042016806722,390,91,119,180
1191,12.594458438287154,412,58,134,220
1192,12.583892617449665,412,58,134,220
1193,12.573344509639565,412,58,134,220
1194,12.56281407035176,412,58,134,220
1195,12.552301255230125,412,58,134,220
1196,12.54180602006689,412,58,134,220
1197,12.531328320802006,412,58,134,220
1198,12.520868113522537,412,58,134,220
1199,12.510425354462052,412,58,134,220
1200,12.5,406,58,128,220
1201,12.489592006661116,401,53,128,220
1202,12.479201331114808,401,53,128,220
1203,12.468827930174564,395,53,122,220
1204,12.458471760797343,374,81,113,180
1205,12.448132780082988,384,91,113,180
1206,12.437810945273633,389,94,105,190
1207,12.427506213753107,389,94,105,190
1208,12.417218543046358,389,94,105,190
1209,12.40694789081886,389,94,105,190
1210,12.396694214876034,389,94,105,190
1211,12.386457473162675,389,94,105,190
1212,12.376237623762377,357,113,104,140
1213,12.36603462489695,357,113,104,140
1214,12.355848434925864,357,113,104,140
1215,12.345679012345679,357,62,105,190
1216,12.335526315789474,357,62,105,190
1217,12.325390304026294,357,62,105,190
1218,12.31527093596059,357,62,105,190
1219,12.305168170631665,357,62,105,190
1220,12.295081967213115,357,62,105,190
1221,12.285012285012286,357,62,105,190
1222,12.274959083469723,357,62,105,190
1223,12.264922322158627,349,54,105,190
1224,12.254901960784315,349,54,105,190
1225,12.244897959183673,349,54,105,190
1226,12.234910277324634,349,54,105,190
1227,12.224938875305623,349,54,105,190
1228,12.214983713355048,350,55,105,190
1229,12.205044751830757,350,55,105,190
1230,12.195121951219512,350,55,105,190
1231,12.185215272136475,350,55,105,190
1232,12.175324675324676,350,55,105,190
1233,12.165450121654501,350,55,105,190
1234,12.155591572123177,350,55,105,190
1235,12.145748987854251,350,55,105,190
1236,12.135922330097088,350,55,105,190
1237,12.126111560226354,349,54,105,190
1238,12.116316639741518,349,54,105,190
1239,12.106537530266344,349,54,105,190
1240,12.096774193548388,349,54,105,190
1241,12.087026591458502,349,54,105,190
1242,12.077294685990339,349,54,105,190
1243,12.067578439259854,354,110,104,140
1244,12.057877813504824,354,110,104,140
1245,12.048192771084338,354,110,104,140
1246,12.038523274478331,354,110,104,140
1247,12.028869286287089,354,110,104,140
1248,12.01923076923077,354,110,104,140
1249,12.00960768614892,354,110,104,140
1250,12,343,99,104,140
1251,11.990407673860911,343,99,104,140
1252,11.980830670926517,343,99,104,140
1253,11.971268954509178,342,98,104,140
1254,11.961722488038278,342,98,104,140
1255,11.952191235059761,338,94,104,140
1256,11.94267515923567,338,94,104,140
1257,11.933174224343675,338,94,104,140
1258,11.92368839427663,338,94,104,140
1259,11.914217633042098,338,94,104,140
1260,11.904761904761905,338,94,104,140
1261,11.89532117367169,338,94,104,140
1262,11.885895404120443,338,94,104,140
1263,11.876484560570072,338,94,104,140
1264,11.867088607594937,338,94,104,140
1265,11.857707509881424,338,94,104,140
1266,11.848341232227488,338,94,104,140
1267,11.838989739542226,338,94,104,140
1268,11.829652996845425,354,110,104,140
1269,11.82033096926714,354,110,104,140
1270,11.811023622047244,354,110,104,140
1271,11.801730920535011,354,110,104,140
1272,11.79245283018868,354,110,104,140
1273,11.783189316575019,354,110,104,140
1274,11.773940345368917,354,110,104,140
1275,11.764705882352942,354,110,104,140
1276,11.755485893416928,354,110,104,140
1277,11.746280344557556,354,110,104,140
1278,11.737089201877934,354,110,104,140
1279,11.727912431587178,354,110,104,140
1280,11.71875,354,110,104,140
1281,11.7096018735363,354,110,104,140
1282,11.700468018720748,354,110,104,140
1283,11.691348402182385,354,110,104,140
1284,11.682242990654206,354,110,104,140
1285,11.673151750972762,354,110,104,140
1286,11.66407465007776,354,110,104,140
1287,11.655011655011656,354,110,104,140
1288,11.645962732919255,354,110,104,140
1289,11.636927851047323,354,110,104,140
1290,11.627906976744185,354,110,104,140
1291,11.618900077459333,354,110,104,140
1292,11.609907120743035,338,94,104,140
1293,11.600928074245939,348,55,113,180
1294,11.591962905718702,338,94,104,140
1295,11.583011583011583,338,94,104,140
1296,11.574074074074074,338,94,104,140
1297,11.56515034695451,338,94,104,140
1298,11.556240369799692,338,94,104,140
1299,11.547344110854503,338,94,104,140
1300,11.538461538461538,354,110,104,140
1301,11.529592621060722,354,110,104,140
1302,11.52073732718894,354,110,104,140
1303,11.511895625479662,354,110,104,140
1304,11.503067484662576,343,99,104,140
1305,11.494252873563218,338,94,104,140
1306,11.485451761102603,343,99,104,140
